PM10;PM2-5;O3;CO;NO2;SO2
25,4;16;6,5;1;28,6;1,1
30,2;21;10,8;0,8;18,4;1,1
31,2;10;4,6;1;22,5;1,4
32,1;10;27;0,5;7,4;0,7
15,8;9;23,6;0,5;11,7;0,3
24,7;19;27,2;0,5;9,4;0,5
18,5;14;32,6;0,3;4,2;0,5
15,4;10;32,3;0,3;2,8;0,6
14,4;7;34,3;0,3;3,3;0,7
22;17;31,3;0,3;4;0,6
16,8;16;12,1;0,7;20,2;1
39;18;15,3;0,6;19,1;0,8
0;23;7,3;1,1;28,6;1,2
44,3;22;26,3;0,6;12,3;0,3
30,7;17;32,4;0,5;8;0,6
20,2;20;33,9;0,4;5,2;0,7
18,7;7;35,6;0,4;5,9;0,8
18;16;37,1;0,4;5,9;0,8
19;19;38,9;0,4;4,5;0,7
22,2;18;40,2;0,4;3,6;0,6
20,3;7;39,2;0,4;5,8;0,7
17,1;9;38,6;0,4;6;0,9
19,5;13;35,6;0,5;7,9;0,8
16,1;14;34,6;0,5;8,2;0,8
24,9;10;34,7;0,5;7,1;0,7
28,8;17;21,5;0,7;17,9;0,3
42,4;14;14;0,9;21,8;0,9
42,8;15;37,3;0,3;4,1;0,8
27;19;39,9;0,3;3,8;0,5
22;16;38,1;0,3;3;0,4
29,1;20;33,4;0,3;4,7;0,6
29,5;22;32,1;0,3;4,1;0,6
26;26;34,8;0,3;3,6;0,7
24,5;21;37,8;0,3;1,8;0,7
27,3;21;37,6;0,3;2,5;0,7
24;24;26,9;0,4;10,5;0,7
37,3;21;9,5;0,8;23,8;1
39,7;29;17,1;0,7;18,8;0,7
36,2;21;27,5;0,5;10,1;0
30,4;18;32,7;0,4;6,5;0
28,3;24;30,4;0;0;0
27;27;0;0,4;5,8;0,7
23,7;20;34;0,4;5,7;0,7
20,7;16;33,2;0,4;5,7;0,9
19,5;19;32,8;0,5;6,4;0,7
24,2;20;30,7;0,4;6,4;0,8
27,6;16;30;0,3;4,1;1
21;14;28,9;0,4;5,3;0,7
26,8;13;29,3;0,4;6;0,8
31,5;20;29,8;0,4;5,5;0,8
25,2;24;27,5;0,4;6,5;0,7
37,8;26;24,8;0,5;10,6;0,7
31,2;22;23,8;0,4;10,2;0,7
31,7;24;28,5;0,3;7;0,4
33,9;26;25,7;0,3;6,5;0,5
29,3;24;28,4;0,3;4,5;0,5
26,4;26;28,6;0,3;3,8;0,6
25,7;20;29,3;0,3;3,8;0,6
24,7;14;27,3;0,3;4,7;0,5
28,8;14;19,6;0,4;9,1;0,5
22;21;25,6;0,4;6,1;0,7
26,6;11;28,5;0,4;4,7;0,3
19;18;27,7;0,4;5,9;0,5
21,7;15;26,8;0,4;6,7;0,5
23;23;28,2;0,4;5,9;0,5
17,3;9;28;0,4;5,5;0,4
20,5;11;29,8;0,4;5,1;0,2
0;18;28,9;0,4;4,8;0,4
18;18;31,5;0,4;7;0,5
21,4;21;29,2;0,4;4,8;0,6
23;23;29,2;0,3;3,7;0,6
18,8;5;29,8;0,3;3,2;0,7
22,2;5;28,2;0,4;5,2;0,7
24,2;6;28,5;0,3;4,9;0,6
20,8;16;28,3;0,3;4;0,5
18;18;25;0,4;7,2;0,6
0;15;23,9;0,4;7,6;0,5
0;12;24,6;0,3;5,8;0,5
18,8;6;27,3;0,3;1,9;0,3
9,7;8;24,9;0,3;3,4;0,2
11,4;11;23,4;0,3;3,4;0,5
10,4;7;25,5;0,2;2,1;0,6
4,8;1;26,7;0,2;1,4;0,6
2;2;26,3;0,2;1,7;0,5
0;8;21,5;0,2;3,6;0,5
7,2;7;19,2;0,3;4,9;0,6
10,2;7;19;0,3;3,9;0,4
10,4;6;19,4;0,3;2,9;0,4
6,2;1;18,7;0,3;2,7;0,4
2,8;0;19;0,2;2,4;0,5
5,3;0;18,9;0,2;2;0,4
7,3;5;19,4;0,2;1,8;0,5
7,3;0;18,4;0,2;2;0,7
4,3;0;18,3;0,2;2,4;0,7
1;1;19,1;0,2;1,7;0,6
6,5;0;16,2;0,2;3,3;0,6
9;0;14,8;0,2;4,1;0,4
6;0;11,7;0,3;6,1;0,4
8,5;3;11,8;0,3;4,9;0,7
10,2;8;10,2;0,3;6,2;0,6
9,1;5;10,8;0,3;5,3;0,6
6,9;0;12,7;0,2;3,3;0,6
7;3;11,6;0,2;3,1;0,5
5,3;1;13,9;0,2;2,2;0,6
6,2;0;13,3;0,2;2,9;0,7
5,3;5;15,2;0,2;2;0,6
3;3;13,3;0,2;3,1;0,6
15,1;0;11,5;0,3;5;0,6
5;2;6,8;0,5;9,6;1
16,3;4;9,2;0,6;8,9;1
15,8;10;16,8;0,2;3,8;0,7
13,6;10;18,5;0,2;3,7;0,4
9,4;6;19,1;0,2;3,7;0,4
6;6;19,8;0,2;3,2;0,4
16,3;5;20;0,3;3,8;0,7
15,1;6;20,7;0,2;3,1;0,9
11;11;23,1;0,2;2,9;0,8
0;11;21,9;0,3;3,4;0,7
8,7;8;21,9;0,2;3;0,5
9,2;8;20,6;0,3;4,3;0,8
14,9;4;20,4;0,3;4;0,7
0;2;0;0,2;0;0,8
0;0;21,5;0,2;4,4;0,7
14,6;14;20,1;0,2;2,3;0,4
18,8;13;20,3;0,2;2,3;0,5
18,3;16;20,3;0,2;1,9;0
22,5;6;19,1;0,1;2,1;0,5
12,9;9;20,5;0,1;1,6;0,7
14,9;12;19;0,1;2,9;0,6
15,6;8;21,9;0,1;2,1;0,8
11,4;5;23,9;0,1;2;0,4
16,1;3;25,3;0,1;2,3;0,6
9,9;2;21,3;0,2;5,3;0,6
17,7;0;21,6;0,2;5,2;0,6
11,6;3;23,2;0,2;5,2;0,4
23,2;9;25,4;0,2;4,9;0,5
16,1;15;27,4;0,2;3,8;0,7
21;16;28,9;0,2;4,1;0,7
22,2;6;29,4;0,2;3,6;0,7
15,9;6;29,8;0,2;3,7;0,8
0;7;29,2;0,2;4,1;0,8
0;8;30,1;0,2;3,6;0,8
19,8;7;27,4;0,3;5,7;0,6
17,1;7;20,6;0,4;10,7;0,7
27,8;6;17,5;0,5;14,2;0,8
35,3;8;21,2;0,3;9,2;0,7
33,1;10;22;0,3;7,6;0,7
16,8;11;18,6;0,3;8,6;0,6
21,2;12;27,9;0,2;2,2;0,5
15,1;14;27,4;0,2;1,9;0,5
29,5;17;24,5;0,2;3,4;0,5
20,5;18;23,9;0,2;2,9;0,6
24,9;18;22,8;0,2;4,2;0,6
19,3;14;19,1;0,2;6,3;0,7
25,6;18;5,7;0,3;18,1;0,9
22,7;18;8,1;0,3;17,7;0,9
23,9;17;15,4;0,3;11,1;0,8
0;13;14,9;0,5;14,3;0,8
35,3;17;17,3;0;0;0
39,7;13;24,4;0;0;0
0;22;0;0;0;0
25,9;16;0;0;0;0
25;25;0;0;0;0
31;20;49,5;0,5;13,3;0,2
37,1;29;42,5;0,3;6,9;0,1
33,9;22;36,4;0,3;6,3;0,4
31,7;16;27,7;0,4;12,7;0,6
32,4;0;14;0,8;23,7;0,8
27,3;2;5,8;1;24,8;0,9
27,5;24;3,5;1;20,5;0,9
47;27;2,3;1,1;21,6;1,2
49,7;23;3,2;0,9;20,5;0,9
48,3;19;9,5;0,6;15,3;0,6
29,1;19;5,6;0,6;16,7;0,5
31,5;23;17,1;0,4;7,7;0,4
29,8;17;17,7;0,4;8;0,4
28,1;13;15,9;0,4;7;0,4
19;19;25,1;0,3;3,2;0,4
23,2;23;30,5;0,3;2;0,4
18;18;31,9;0,3;1,9;0,1
15,3;14;29,1;0,4;4,6;0
16,5;13;27,2;0,4;5,7;0,2
15,8;8;14,2;0,7;17,8;0,5
29,8;9;28,9;0,4;4,6;0,4
14,9;14;30,3;0,5;10,6;0,3
27,1;25;29;0,6;14;0,9
30,5;24;45,1;0,5;9,2;0,8
28,8;26;42,4;0,4;7,8;0,8
24,4;17;33;0,4;8,6;0,8
16;16;38,2;0,3;7,1;0,9
11,9;11;38,1;0,3;7,2;0,9
15,4;9;35;0,4;8,6;0,7
14,6;2;30,2;0,4;8,5;0,7
16,8;0;26,1;0,4;9,8;0,7
18,9;4;23,4;0,5;12,1;0,6
23,5;5;25;0,4;10,8;0,5
14,1;6;20,8;0,5;15,1;0,6
19;19;23,6;0,4;12,3;0,6
11;11;30,7;0,3;6,2;0,6
15,6;7;25,5;0,3;9,5;0,7
19;6;22;0,3;10;0,8
16,8;11;27,9;0,3;7;0,7
16;16;19,5;0,3;7,8;0,6
15,4;13;14,2;0,4;9,2;0,6
16,8;15;11,5;0,4;9,5;0,7
28;28;13,8;0,4;8,4;0,5
26,3;8;16,9;0,4;8;0,5
30,5;18;26,5;0,3;6,1;0,7
23;10;36,8;0,3;5,3;0,7
21;20;41,1;0,3;4,8;0,7
0;24;48,6;0,3;5,8;1
30,2;11;38,6;0,3;6,7;0,9
23,4;10;40,6;0,3;7,1;0,3
14,9;9;31,1;0,4;8,8;0,6
22,2;11;31,3;0,3;6,2;0,7
13,4;12;18,6;0,6;13,6;0,5
22;16;8,5;0,7;18,2;0,7
21;21;9,3;0,6;15,7;0,7
0;21;5,8;0,6;16;0,7
17,6;15;2,5;0,8;16,5;0,9
29,3;20;2,3;0,7;14,9;0,7
25,7;19;2,7;0,7;14,3;0,6
24,5;20;3,6;0,5;11,8;0,6
29,1;11;2,3;0,6;12,4;0,7
23,2;21;6,5;0,4;9,3;0,5
19;15;6;0,4;8,3;0,5
18,3;14;4,1;0,4;9,6;0,6
23,5;13;2,9;0,6;11,9;0,7
26,9;16;3,5;0,7;12,1;1
0;27;7,1;0,6;14,3;1
22,7;18;15,4;0,5;13,2;0,9
43,4;14;19,1;0,6;15;1,1
28,1;20;23,8;0,6;17,4;1
36,6;18;21,2;0,6;22,3;1,2
36,2;31;19,2;0,7;19,5;1,1
39,7;15;16;0,6;14,3;0,8
31,5;30;13,1;0,8;18,9;0,9
45,8;36;15,5;0,8;19,2;1
39;30;20,1;0,6;12,9;1
29,5;22;29,5;0,3;3,6;0,7
24,5;23;22,6;0,4;10;0,7
25,2;22;22,6;0,4;8,8;0,6
23,5;17;22,9;0,4;5,7;0,5
17,6;11;24,1;0,4;5,6;0,5
12,4;11;24,5;0,3;5,3;0,6
13,2;11;32,4;0,2;2,6;0,6
0;18;31,7;0,2;2,5;0,5
14,9;12;30,8;0,2;2;0,4
0;9;30,1;0,2;1,5;0,5
0;15;29,2;0,3;2,8;0,6
7,9;5;32,6;0,2;1,2;0,5
15,1;5;33,1;0,2;1,4;0,5
0;7;30,8;0,2;1,7;0,3
10;10;32,5;0,3;2,2;0,5
12,2;9;33,6;0,2;1,8;0,4
9,9;8;32,5;0,3;2,1;0,3
8;8;32,1;0,3;2,2;0,2
6,3;6;32,1;0,3;2,3;0,4
15,6;6;32,5;0,3;2,2;0,6
10,9;4;30,7;0,3;2,2;0,5
10,4;6;28,6;0,3;2,6;0,5
11;11;27,5;0,3;1,7;0,5
14,5;12;25,9;0,3;1,7;0,4
11,9;8;24,9;0,3;2,2;0,6
12,2;7;24,6;0,3;3;0,4
20;10;18,4;0,4;7,8;0,6
11,7;9;22,4;0,3;3,3;0,6
10,5;7;24,1;0,3;2,3;0,3
16,6;8;25,1;0,3;2,4;0,3
14,9;9;24,5;0,3;2,3;0,4
8,5;7;25,4;0,2;1,3;0,4
7,5;5;25,1;0,2;1,1;0,5
7,5;2;25,8;0,2;0,9;0,4
5,2;4;24;0,2;1,1;0,5
4;4;19,3;0,2;3,8;0,4
8,5;5;14,1;0,3;10,1;0,5
11,7;5;16,8;0,4;7,6;0,6
10,7;1;18,1;0,4;5,5;0,6
10,9;0;20,8;0,3;3,6;0,4
8,7;2;21,7;0,3;3,8;0,5
8;8;21,5;0,3;3,7;0,5
8,9;6;21,8;0,3;3,2;0,4
7,5;1;23,5;0,3;3,3;0,4
7,5;6;23,2;0,3;3,3;0,5
18,5;16;22,6;0,3;3,6;0,6
10,6;0;22,2;0,3;4,3;0,7
9,6;3;22,7;0,3;3,9;0,6
17,3;6;21,1;0,4;4,7;0,5
5;5;21,2;0,3;5,2;0,5
4,8;2;21,4;0,3;4,5;0,4
7,5;3;21,2;0,3;3,9;0,4
9,2;2;16,2;0,4;6,7;0,5
15,1;1;12,5;0,4;8,9;0,5
2,1;2;20;0,2;2,7;0,5
4;4;20,1;0,2;1,1;0,4
6,3;2;17,9;0,2;1,9;0,4
7,5;0;19,9;0,2;1;0,4
6,4;0;19,7;0,2;1,4;0,4
4,2;0;19;0,2;2,4;0,4
4,3;2;14,2;0,3;5,9;0,5
8,7;4;14,4;0,4;6;0,5
12,7;6;13,8;0,5;6,9;0,6
11,9;9;18,2;0,3;3,9;0
10;7;17,1;0,4;6,2;0
8,5;5;17,7;0,3;0;0
9;5;17,3;0;0;0,1
12;5;0;0;4,7;0,3
13,9;9;0;0,3;3;0,3
14,6;5;23,3;0,3;7,1;0,6
33,1;2;27;0,6;17,5;0,6
32,4;9;16,8;0,7;22,7;0,6
48,3;11;12,4;0,8;26,1;0,6
39,7;8;10;0,7;20;0,5
14,2;7;3,1;0,9;28,4;1
58;15;11,6;0,6;14,1;0,6
18,1;11;13,4;0,4;8,6;0,4
11,2;8;18,1;0,3;3,8;0
12,2;4;18,3;0,3;3,5;0,1
8,2;2;18,7;0,2;1,7;0,3
7;3;17,6;0,2;1,3;0,2
5,8;0;16,1;0,2;1,7;0,2
3,7;0;15,2;0,2;1,7;0,3
10,4;4;12,1;0,2;4,1;0,2
12,4;2;12;0,3;6,1;0,2
11,2;0;11,3;0,4;6,7;0,2
9,5;0;10,4;0,4;7;0,7
8,7;5;8,9;0,6;10,9;0,8
10,4;7;10,6;0,5;9,4;0,7
10;10;13,9;0,5;8,8;0,7
0;8;22,1;0,4;4,5;0,5
7,8;6;26,8;0,3;3,7;0,5
16;16;23,8;0,4;3,4;0,6
0;18;28,6;0,4;4,3;0,7
12,6;10;27,1;0,4;4,8;0,6
10,7;7;25,7;0,4;5,4;0,6
8,5;5;25,1;0,3;4,3;0,4
9,5;4;24,3;0,4;5,4;0,5
11,7;5;22,5;0,4;6,4;0,4
19;9;20,6;0,4;7,6;0,5
16,1;10;18,9;0,4;7,8;0,3
21,8;9;21,4;0,4;6,6;0,3
22,5;16;24,1;0,3;4,6;0,3
17,6;9;12,2;0,5;17,1;0,5
22;19;18,9;0,4;10,4;0,4
10,7;7;29,2;0,3;1,7;0,3
20,4;7;27,4;0,3;2,1;0,4
17,3;9;27,8;0,3;2,4;0,3
20,3;19;16,6;0,4;11,7;0,4
27,1;13;12,4;0,6;15,9;0,6
22,7;21;21,4;0,4;7,4;0,5
19,5;13;23,4;0,5;9,4;0,5
19,8;17;29,7;0,3;5,1;0,4
12,9;6;30,6;0,2;4,5;0,4
12,5;7;31,5;0,2;4;0,4
22;15;30;0,3;3,5;0,5
16,1;14;29,4;0,3;4,5;0,5
11;11;29,9;0,3;4,4;0,4
21,4;10;28,9;0,3;5;0,4
26,4;12;28,1;0,4;4,7;0,5
26,4;12;27,9;0,4;5,6;0,4
24;6;24,8;0,4;7,9;0,4
32;8;24;0,4;7,8;0,3
26,6;14;24,9;0,4;7,8;0,2
23;13;27,9;0,3;3,8;0,3
22;12;21,8;0,4;8;0,2
21;19;20,9;0,3;8,6;0,2
18,3;17;21,3;0,4;7,9;0,2
24,2;9;15,1;0,4;9,3;0,3
22,5;10;18,3;0,3;8,3;0,3
22,2;13;16,1;0,3;10,1;0,3
25,9;15;1,9;0,4;22,7;1
36,9;14;21,3;0,3;9,3;0,5
24,2;16;21,3;0,5;10,7;0,5
26;26;26,2;0,4;6,6;0,4
19,2;11;31,1;0,3;4,6;0,3
28,6;12;30,5;0,3;4,8;0,2
16,1;12;29,7;0,4;6,8;0,3
20;20;30,3;0,3;4,6;0,4
18,3;14;32,1;0,3;4,8;0,4
29,3;15;33,2;0,4;4,7;0,4
25,2;25;35,7;0,4;4,4;0,4
30,4;18;35,6;0,4;5,3;0,4
31,2;14;35,6;0,4;5,4;0,4
30,3;19;33,9;0,6;14,9;0,6
58;14;34,5;0,4;6,5;0,2
41,4;18;35;0,4;5,3;0
28,2;14;34,7;0,4;4;0,3
30,2;21;31;0,4;6,2;0,3
31,2;22;33,2;0,3;4,1;0,2
32,9;19;33,7;0,3;2,8;0,3
32,7;17;31,9;0,2;2,5;0,3
23,2;21;31,2;0,2;2;0,3
25,9;13;32,9;0,2;2;0,3
29,9;12;29,8;0,2;3;0,2
23,2;10;31,3;0,3;2,6;0
29,5;17;24,3;0,3;8,4;0,2
31,7;28;26,6;0,3;7,7;0,3
27,3;19;16;0,7;19;0,5
42,1;25;25,1;0,6;14,3;0,4
34,4;20;32;0,4;9,3;0,3
29,3;14;28,6;0,3;4,2;0,2
22,8;8;27,8;0,3;4,1;0,2
24,9;4;28,4;0,3;4,7;0,3
22,5;9;32,5;0,3;4,4;0,2
25,4;15;31,1;0,3;3,2;0,2
29,1;13;31,1;0,3;3,9;0,3
30;21;30,9;0,3;3,1;0,4
31,7;19;26,5;0,3;5,1;0,2
14,6;7;24,2;0,3;5,1;0,3
23,4;7;25;0,3;3,9;0,3
18,7;10;24,7;0,3;5,9;0,3
26,6;20;7,7;0,8;21,2;0,6
41,2;26;18,5;0,5;10,4;0,4
27,1;19;26,2;0,3;4,2;0,3
29,5;16;26,4;0,3;3,4;0,2
33,7;21;23,5;0,3;4,5;0,3
23,7;19;21,5;0,3;4,6;0,3
23,7;16;12,8;0,4;10,7;0,4
27,6;20;19,9;0,3;4,9;0,3
22,2;13;21,8;0,3;4,4;0,3
15,1;13;24,7;0,3;3,7;0,3
16,5;13;15,1;0,5;10,9;0,3
22,9;19;17;0,5;10,9;0,3
23,2;9;23,3;0,4;7,8;0,4
22,7;22;22,5;0,5;13,3;0,3
23,4;19;20,1;0,6;14,7;0,3
22,5;12;27;0,6;11,9;0,3
25;17;32,2;0,6;12,7;0,3
26,6;20;26;0,7;17,5;0,4
21,5;19;21,6;0,7;19,3;0,5
28,1;17;12,9;0,8;23,8;0,4
19,8;18;13,3;0,7;23,5;0,4
15,6;10;8,7;0,8;26,9;0,5
20,7;16;5,3;1;28,2;0,6
21,2;10;0,7;1,2;31,5;0,8
29,7;17;0,9;1,1;29,7;0,6
22,2;8;13;0,7;17;0,4
10,2;5;20,3;0,4;7,6;0,3
8,7;3;21,4;0,3;5,8;0,3
7;2;17,2;0,3;5,9;0,3
6,5;3;15;0,3;4,6;0,3
6;6;16,5;0,3;4,1;0,2
5;5;15,8;0,3;6,7;0,3
14,9;1;8,9;0,4;15;0,4
12,2;2;2,5;0,9;21;0,9
16,6;4;3,4;1;22,1;0,8
16,3;6;6,5;1;23,1;0,8
22,4;16;10,7;1;23,9;0,9
23,7;18;13,1;1,5;40,8;1,1
42,4;25;21,5;1,7;48,4;1
49;31;47,3;1,3;38,7;0,8
46,9;29;53;0,7;18,4;0,6
18,3;18;33,2;0,5;15,1;0,5
0;4;0;0,5;0;0,7
0;0;0;0,5;23,2;0,7
28;19;0;1,2;32,2;1,8
0;36;0;1,1;30,6;1,2
22,7;14;0;1;28,7;1,1
20,7;11;0;0,9;27,6;0,9
24,9;10;4,3;0,8;28;1,3
14,1;8;11,7;0,1;16,6;0,3
9,8;6;14,4;0;13,8;0,3
8,7;7;11,8;0,4;13,8;0,4
9;6;5;0,4;16,9;0,5
8,4;5;5,8;0,4;16;0,3
11,2;7;7,7;0,3;13,1;0,3
12,9;11;3;0,4;17,7;0,4
13,6;11;3,2;0,6;20,8;0,7
17,6;11;2,1;1,2;25;1,3
32,5;21;5,8;1;21,6;1,1
18;14;9,4;1,1;25,8;1
20;18;11,9;1,2;34,7;0,9
29,9;23;20,4;1,2;34,1;1
36,8;21;32,7;0,8;26,5;0,9
39;27;38,9;0,7;23,6;0,9
31,9;23;32,9;0,6;18,1;0,8
31,5;21;26,9;0,5;15,7;0,7
19,5;15;32,3;0,3;10,2;0,6
15,4;13;25,3;0,4;14,5;0,8
20,8;8;19,6;0,5;14,1;0,7
21,3;8;23,5;0,4;11,2;0,7
18,3;8;18,4;0,4;12,5;0,6
13,2;6;8,5;0,6;18,8;0,7
18,8;10;3,6;0,8;19,6;0,9
25,6;10;2,3;0,8;20,3;0,9
17;9;1,9;0,7;18;0,8
15,6;10;4,7;0,4;12,7;0,6
18,5;9;7,3;0,3;9,2;0,4
13,7;10;4,5;0,3;7,9;0,4
15,9;4;3;0,4;8,1;0,5
14,4;1;1,9;0,5;10,6;0,9
18;6;0,7;1;16,8;1,7
27,8;19;0,8;1,8;19,5;2,2
70,3;27;3,6;1,5;28,5;1,9
55,8;27;13,8;0,9;22,1;0
27,8;20;24,5;0,3;7,3;0
21;16;26,3;0,3;0;0
15,4;15;28,3;0,3;0;0
0;0;0;0,3;3,9;2,4
32,7;21;37;0,6;13,4;0,4
52,6;21;29,1;0,7;19,6;0,2
27,3;5;21,5;0,8;21,6;0,3
32,4;19;28,6;0,7;22,7;0,3
45,3;31;18,5;0,7;16,7;0,2
19;19;7,7;1,2;24,1;0,5
36,3;27;8,9;1,1;19,7;0,4
46,8;27;3,4;1,3;22,5;0,6
33,9;20;7,3;1;18,6;0,7
36,6;15;19,6;0,5;9,7;0
22,5;14;26,9;0,3;3,3;0
16;16;23,8;0,3;3,8;0
23,5;9;19,6;0,3;5,7;0
17,3;12;14,7;0,3;6;0
26,1;12;22,4;0,3;3;0
24,9;12;22,2;0,3;4,5;0
25,9;15;25,5;0,3;6,3;0
18,3;12;12;0,8;17,5;0,4
34,4;19;21,4;0,5;8,8;0
26,1;9;22,9;0,5;8,8;0
24,4;15;28,3;0,4;4,1;0
19,5;18;29,9;0,3;4,3;0
16,1;15;31;0,4;4,3;0
23,7;18;31,1;0,4;3,3;0
29;19;29,3;0,4;4,3;0,1
25,2;13;28,7;0,4;4,3;0,1
15;15;29,8;0,4;5,3;0,1
10,6;5;26,8;0,4;7,3;0,1
20;8;26,9;0,4;5;0,1
0;16;22,8;0,5;7,9;0
9,7;6;25,7;0,3;5,8;0,1
15,8;8;23,9;0,4;7,3;0,3
16,3;8;16,4;0,5;13,3;0,2
17,5;6;25,4;0,3;4,7;0,2
15,6;9;24,2;0,4;5,6;0,2
0;24;12,2;0,5;12,4;0,1
24,7;15;13,8;0,4;10,9;0,2
25,9;13;14,1;0,4;11,1;0,3
15,1;11;13,5;0,4;10,4;0,3
23,9;12;9,6;0,4;13,7;0,2
23;17;3,8;0,5;19,8;0,4
31,7;20;2,8;0,8;22,9;0,7
36,1;12;12,2;0,7;22,6;0,4
14,2;9;15,5;0,8;21,4;0,4
13,9;2;15,4;0,8;21,5;0,5
19,4;19;20;0,9;26,5;0,7
23,2;23;24;0,8;28,4;0,6
27,6;26;28,2;0,7;21,8;0,6
32,7;18;26,3;0,5;13,9;0,4
23,9;10;27,8;0,6;17;0,6
21,9;12;24;0,6;20,7;0,6
24,1;14;13,6;0,8;27,7;0,7
40,2;20;17,2;0,7;23,3;0,5
36,1;12;10;0,8;28,8;0,6
40,2;22;5,4;1;33;0,8
41,7;17;6;0,9;32,4;0,5
37,3;19;1,4;1,2;33,8;0,8
43,1;13;1,6;1,1;30,6;0,8
38,5;19;0,8;1;33,5;0,8
33,9;11;0,7;1;29,5;0,8
35,2;19;2,6;0,8;30,1;0,8
39,7;21;15,6;0,4;17,9;0,7
21,4;11;20,7;0,3;11,9;0,4
18,7;12;18,8;0,3;13,4;0,1
16,8;6;9,2;0,5;19,1;0,4
20,3;5;6,6;0,7;20,1;0,6
18,3;10;10,5;0,7;23,2;0,6
20,3;16;13,1;0,8;27,7;0,7
35,4;18;15,4;1,1;38,7;1,1
50,4;30;17,3;1,1;40,5;1,6
46,6;23;27,8;0,7;24,4;1,4
42,7;14;30,1;0,6;19,3;1
44,9;25;33,9;0,5;14,9;0,6
39,3;22;27;0,5;15,2;0,4
22,9;18;20,4;0,5;14;0,4
17,7;11;13,6;0,7;20,6;0,5
21,5;11;13,9;0,6;19;0,5
18;10;8;0,7;20,1;0,5
22,5;10;3;0,9;23,4;0,5
28,3;12;1,3;0,9;26,1;0,6
25,7;24;2,2;0,7;25,7;0,6
17,6;14;3,1;0,6;22,7;0,6
21,3;14;1,7;0,7;22,7;0,5
20,5;13;1,8;0,6;22,9;0,5
20,5;10;0,6;0,7;24,3;0,7
23,2;5;0,4;0,7;22,2;0,7
30,7;16;0,4;0,6;20,5;0,6
24,9;7;0,3;0,7;17,5;0,6
28,1;9;0,5;0,6;17,4;0,6
33,2;17;1,3;0,7;16,5;0,8
26,9;8;3,5;0,7;15,4;1,1
24,5;17;11,3;0,5;11;1,3
18;18;20,9;0,3;6,6;0,8
13,9;7;26,1;0,2;5,8;0,9
16,6;10;33,7;0,3;5,8;1,2
14,9;12;31,7;0,3;5,9;0,7
15,9;10;28,2;0,3;6,7;0,4
18;7;24,6;0,4;9,5;0,5
11,6;7;21,6;0,3;8;0,5
12,1;8;17,1;0,3;10,3;0,6
15,8;5;13,9;0,4;12,5;0,6
11;2;12,7;0,4;12,1;0,5
10,9;5;4,6;0,7;20,8;0,6
10,7;7;2,3;0,8;23,8;0,7
23,7;7;6,1;0,6;17,9;0,6
24,7;7;4,7;0,5;15,6;0,4
9;6;7,9;0,4;14,9;0,4
10,4;4;7,3;0,3;13,8;0,3
17,5;6;3,3;0,4;13,1;0,4
16,6;8;2,1;0,4;15,4;0,4
20,2;8;4,8;0,3;12,9;0,3
15,1;8;3,9;0,4;13,7;0,3
22,9;7;0,5;0,8;16,6;0,8
37,8;17;1,1;1,1;19,1;1,3
31;19;2;1,3;22,8;1,4
47,8;23;8,4;0,9;21;1,1
41;17;16,9;0,6;18,8;0,8
32,7;20;23,2;0,5;14,4;0,6
31,7;18;11,7;0,5;18,3;0,7
29,3;17;19;0,5;14,2;0,6
28,5;10;20,1;0,4;11,2;0,5
20,7;11;23,2;0,4;11,8;0,6
27,3;14;21,8;0,3;10,5;0,6
22,1;12;17;0,4;12,8;0,6
23,9;9;12,7;0,4;14,9;0,5
28,8;6;7,6;0,7;19,7;0,7
29,8;7;5,6;0,7;19,8;0,5
24,9;10;5,7;0,5;15,6;0,5
13,2;9;4,8;0,6;18,2;0,7
16,6;9;1,3;0,6;16,9;0,6
20;10;3,4;0,4;13,1;0,4
0;16;4,6;0,3;10;0,3
10,7;6;1,5;0,5;14,5;0,4
16,6;9;0,5;0,5;14,7;0,4
17,1;12;0,3;0,5;14,3;0,4
20,2;11;0,3;0,6;16,7;0,6
33,1;11;0,4;0,8;16,8;1
33,7;21;0,6;1,4;19,4;1,7
54,3;33;1;1,5;21,1;1,9
54,3;33;5,2;1,1;22;0
36,4;21;14,6;0,7;0;0
33,2;24;23,3;0;0;0,9
35,7;23;0;0,3;9,1;0,6
13;13;0;0,3;8,1;0,4
23;23;33,3;0,6;18,3;0,6
39,7;17;19,6;0,4;13,2;1
20,3;0;17,6;0,4;14,6;1,1
21,9;1;11,3;0,7;24;1
29;16;21,3;0,5;14,3;0,9
16,3;16;10,1;0,8;22,9;0,8
26,4;16;2,3;1,1;28,1;0,9
23,2;19;0,5;1,2;29,7;0,9
27,4;21;1,6;0,9;21,3;0,6
17,1;16;0,5;1;21,2;0,8
21,7;17;1;0,7;18,2;0,4
18,5;12;0,6;0,6;16,3;0,2
21,3;9;6,9;0,4;8,7;0,2
0;10;8,2;0,3;6,6;0,1
11;11;3,5;0,3;9,9;0,2
12,1;9;1;0,4;12,7;0,5
11,8;9;3,2;0,6;12,3;0,6
24,9;9;2,3;0,9;16,1;1
23,5;18;7,2;0,6;11,3;0,5
22;11;9,2;0,6;11,8;0,5
19,3;11;5;0,7;16,5;0,6
0;0;0;0;0;0
11,2;10;10,6;0,6;15,5;0,5
18;11;13,4;0,7;19,1;0,5
12,4;12;18,5;0,6;15,2;0,3
11,4;10;19,2;0,6;16,2;0,4
