PM10;PM2-5;O3;CO;NO2;SO2
9,2;7;21,2;0,2;3,9;0,8
8,2;1;22,6;0,2;3,2;0,7
4,5;4;23,5;0,2;3,7;0,7
25,7;11;23,6;0,2;3,1;0,9
6,5;4;23,8;0,2;3,4;0,7
8,2;0;19,3;0,4;8,7;0,9
18,5;5;14,8;0,5;13,1;0,9
12,9;10;21,1;0,4;10,4;0,6
13,4;12;14,2;0,6;15,6;1
14;11;9,2;0,6;15,9;0,8
18;18;2,8;1;19,8;1,2
24,4;21;4;0,8;16,5;1,2
28,6;20;4,8;0,9;17,6;1,2
25,4;20;13,2;0,3;7,1;0,8
16,6;13;15,7;0,3;7,7;0,7
0;13;17,2;0,2;5,9;0,7
9;9;24,7;0,2;2,1;0,6
10,9;6;23,9;0,2;1,9;0,7
9;7;13,9;0,2;5,7;0,8
20,5;17;6,3;0,3;11,3;0,8
12,9;11;15,9;0,2;5,4;0,8
11,3;11;8,2;0,3;8;0,8
11,1;6;8,5;0,3;10,1;0,6
11,3;0;6,7;0,4;11,8;0,8
8,7;6;19,6;0,3;5,5;0,7
8;8;26,5;0,2;2,6;0,7
3,3;3;28,5;0,2;2;0,4
5,5;2;29;0,2;2;0,6
3;3;29,4;0,2;2;0,7
5;5;28,6;0,2;2,2;0,9
6,5;3;27,7;0,2;2,4;0,9
2,8;0;26,6;0,2;2,5;1
3,5;0;26,3;0,2;1,9;0,9
5,2;0;24,9;0,2;2,5;0,8
4,7;0;24,7;0,2;3;0,7
5,2;0;21,3;0,2;4,7;0,8
4,6;3;23,1;0,2;3,2;0,7
5;5;16,4;0,3;7,1;0,7
7,3;6;11,4;0,3;8,5;0,8
7,5;0;2,9;0,5;11,2;0,8
8,5;0;4,9;0,4;9,4;0,8
8,7;3;6,9;0,3;8,2;0,8
14,6;4;5,7;0,3;7,3;0,8
5,5;3;2,6;0,4;10;0,9
9,4;2;0,8;0,4;10,2;1
12,9;1;0,6;0,5;11;0
12,6;3;0,7;0,7;11,6;1,3
14,8;7;4,8;0,6;13,3;2,1
20,8;16;11,7;0,4;10,5;1,3
12,4;4;20,8;0,2;3,1;0,9
8;1;23,7;0,2;3,4;0,8
6;5;25,7;0,2;3,6;0,8
9;6;27,1;0,2;3,3;0,8
6,7;4;27,7;0,2;2,7;0,9
5;5;27;0,2;2,8;0,9
6,3;3;26,2;0,2;2,3;0,9
5,3;2;31,7;0,4;9,1;1
24,9;16;35,8;0,5;14,1;1,1
22,2;20;30,4;0,5;15,3;1
29,2;18;19,5;0,6;22,2;0,9
23;23;13,7;0,5;18,7;0,9
17;17;14,2;0,5;16,6;0,7
0;14;9,8;0,5;20;0,7
0;10;16,7;0,4;13;0,7
8,7;7;19,9;0,3;8,7;0,9
11,2;6;20,1;0,3;8,1;0,8
8,5;4;21,9;0,3;7,7;0,8
9,5;3;27,9;0,2;5,4;0,8
12,4;5;17,6;0,3;10;0,9
10,5;9;7;0,5;14,7;0,9
9,2;9;2,4;0,8;16;1,1
11,4;4;1,7;1,1;18,6;1,6
18,5;7;3,9;1;16,7;1,5
29,6;24;8,3;0,6;14;1,1
22;15;8,7;0,6;16;1,2
23,2;12;11,4;0,6;14,2;1,4
21;10;15,6;0,5;11,3;1,2
18,1;7;23,4;0,4;10,3;1,1
20,8;7;34,6;0,7;17,2;1,1
28,3;20;30,2;0,6;19,3;1,1
0;26;25,6;0,6;25;0,8
0;21;17,3;0,7;22;1,1
0;19;8,9;1;31,6;1,2
30;30;2,9;1,3;28,8;1,4
23,4;13;1,8;1,2;24,8;1,6
18,8;10;1,5;1;24,4;1,2
22,5;10;0,5;1;26;1,3
24;18;0,3;0,9;21,1;1,3
19,3;13;2,3;0,6;15,4;1
10;10;14,2;0,2;5,6;0,8
6,7;4;4,6;0,3;12,6;1
8,4;0;9,5;0,2;5,9;0,9
8,2;0;5,8;0,2;7,8;0,9
3,6;0;1,8;0,7;13,4;1,5
21;6;1,9;1,1;15,6;1,9
22,1;9;1,8;1,5;17,5;2,2
20,4;9;10,6;0,8;12,1;1,3
27,3;5;19,6;0,3;6,8;0,9
12,9;4;22,1;0,2;4,4;0,8
10,2;2;21,9;0,2;3,6;0,8
9,4;2;22,9;0,2;3,9;0,9
16,3;7;22,1;0,2;4,2;1
5;5;23,9;0,2;3,1;1
4,3;3;23,3;0,2;3,9;1
8,7;0;25,7;0,4;13,6;1,1
29,5;0;18,5;0,6;26,5;1,1
31,2;20;9,6;0,7;27,8;1,2
24,9;18;2;1,1;33,4;1,4
43,3;29;4,5;0,7;17,3;1,4
29,1;7;1,4;0,7;16,5;1,4
27,3;10;1,3;0,7;12,9;1,6
25,9;11;11,1;0,2;7;1
14,6;9;8,1;0,3;6,6;0,7
11,4;6;6,9;0,3;8,6;1
11,4;7;11,1;0,2;5,9;0,8
10,9;7;9,8;0,2;4,9;0,9
8,7;3;8,1;0,2;7,8;0,7
8,2;5;5,8;0,4;12;1,1
10,7;6;6,5;0,6;14,7;1,1
18;6;5,3;0,6;14,1;1
6,9;1;6,6;0,7;15,6;1,2
17,8;0;17,5;0,3;6,6;1
7,5;1;24;0,2;5;0,9
9,7;2;25,6;0,2;4,7;0,9
10,2;0;25,9;0,3;4,1;0,9
14,6;3;28;0,2;3,1;1
11,2;9;27,1;0,2;4,3;1
9;7;27,8;0,2;3,9;0,9
9,2;5;25,2;0,2;4,4;1
15,8;2;24,5;0,3;4,4;1
10,9;4;21,4;0,3;7,1;1
12,3;5;19,8;0,3;6,5;1,1
12,6;2;18,9;0,2;6;0,9
14,8;5;11,4;0,4;10,1;1,1
25,4;8;12,6;0,3;8;1,1
13,2;5;14,7;0,2;5,7;1
12,4;7;9,6;0,2;7,6;0,9
11,7;9;10;0,3;7,2;0,9
5,3;5;17,7;0,2;3,2;0,8
4,8;0;8,6;0,2;6,1;0,9
9,5;0;5,3;0,3;9,6;1,1
18,6;0;1;0,7;15,2;1,5
39,5;19;0,9;0,9;16,3;1,8
38;17;4;0,8;14,7;1,7
30,4;10;12,7;0,5;11,3;1
22,2;9;21,6;0,4;8,2;0,9
19,5;7;24,6;0,2;4,2;1
17,4;6;0;0;0;0
0;0;0;0;0;0
34,2;19;0;0;0;0
12,2;8;22,5;0,2;3,4;0
11,4;6;22,4;0,2;3,7;0
22,5;0;22,1;0,5;17;0
37,1;25;17,4;0,6;23,3;0
33;19;9,5;0,7;22,2;0
27,3;17;16,4;0,3;7,7;0
17;7;18;0,2;6,5;0
9,6;7;18,3;0,2;5,5;0
15,8;9;18,3;0,2;5,9;0
11,2;11;18,4;0,2;5,3;0
11,4;11;15,1;0,2;6,5;0
23,5;8;9,9;0,3;9,7;0
10,7;7;8,5;0,3;10,2;0
9,5;9;11,4;0,2;7;0
18;5;8,9;0,2;8,8;0
19,3;3;1,3;0,5;14,3;0
21,7;9;1,2;0,5;16,7;0
32,2;19;5,7;0,5;15,6;0
31,9;16;6,9;1;26,6;0
59,9;34;17,5;1;29,7;0
66,5;39;36,3;0,9;34;0
60;37;48,7;0,7;27;0
45,4;23;55,3;0,6;19,9;0
39,5;22;47,5;0,6;20,8;0
46,3;20;35,3;0,7;23,1;0
38,3;21;35,5;0,6;19,4;0
37,8;22;38,2;0,5;17,5;0
24,7;11;36,6;0,4;13,6;0
29,8;17;27;0,5;16,7;0
24,7;13;25,8;0,5;15,4;0
22,4;13;12,1;0,6;17,5;0
22,7;19;7,5;0,8;23,1;0
27,3;10;12,9;0,7;25,4;0
22,7;11;17,8;0,5;19,4;0
16;16;23;0,4;15,1;0
11,4;10;29,4;0,3;10,5;0
12,6;9;23,9;0,3;8,3;0
11,4;7;26,8;0,2;5,8;0
6;6;24,2;0,2;7,4;0
4;4;17,3;0,3;9,4;0
7,8;4;14,9;0,4;9,7;0
8;8;11;0,5;12;0
8,5;5;17,9;0,4;11;0
16;1;27,4;0,2;4,8;0
7,6;5;33,7;0,2;3,3;0
9;9;33,1;0,2;3,1;0
16,8;7;34,8;0,2;2,8;0
5;4;35,8;0,2;3,1;0
7,5;5;42,3;0,3;6,8;0
24,2;7;39,5;0,4;12,2;0
22,9;22;34,1;0,5;14,7;0
16,8;14;26,9;0,6;17,3;0
31,5;21;18,7;0,7;18,9;0
23;1;14,8;0,6;19,6;0
15,3;6;20,6;0,4;11,2;0
11,4;9;15,6;0,5;13,2;0
12,8;11;19,3;0,4;16,1;0
15,3;14;20,6;0,3;15,2;0
12;12;17,2;0,3;11,4;0
15;15;13,8;0,3;9,9;0
11,2;10;13,2;0,3;9,7;0
12;12;16,6;0,2;6,5;0
16,3;11;12,9;0,3;10,1;0
6;6;4,9;0,6;19,2;0
32,2;17;10,8;0,7;16,1;0
20,5;6;16,2;0,6;15,4;0
21,5;8;27,3;0,3;6,9;0
16,3;6;33,7;0,3;4,6;0
16,7;5;34;0,3;5,2;0
11,3;6;34;0,2;4,2;0
9,2;6;33,9;0,2;4,4;0
17,1;8;35,5;0,2;4,6;0
20;12;42,3;0,4;12;0
36,6;16;40,7;0,7;27,3;0
38,7;26;40,3;0,7;28,7;0
45,1;32;43,3;0,6;21,5;0
36,9;18;29,6;0,7;27,2;0
34,2;20;19,2;0,9;32,9;0
44,3;11;7,2;1;39,5;0
53,1;23;15,4;0,7;29,6;0
44,5;23;13;0,7;31,5;0
41,4;17;11,9;0,6;30,2;0
38;15;8,4;0,6;33,8;0
38,8;22;11;0,5;29,7;0
39,7;17;18,8;0,4;21,5;0
46,1;26;18,7;0,4;18,1;0
38,3;25;20,7;0,3;16,5;0
30;16;15,3;0,4;21,3;0
37,3;15;4,2;0,9;23,8;0
48,7;25;5,7;1;27;0
56,3;31;5,3;1,3;38,9;0
70,7;36;12,9;1,2;36,7;0
58,7;41;23;1,2;38;0
57,4;40;32,8;1;34,1;0
58,4;27;45,3;0,8;30,7;0
68;35;43,9;0,5;16,8;0
