PM10;PM2-5;O3;CO;NO2;SO2
0;13;3,3;0,4;14,3;5,1
14,6;11;2,9;0,4;14,6;5,6
19,2;8;4,4;0,4;11,6;5,8
17,2;6;11,3;0,3;5,3;1,7
20,4;6;12,6;0,3;5,4;9
19,4;3;13;0,3;4,9;8
14,3;6;16;0,3;3,8;5
17,1;10;17,4;0,3;4,5;2,7
13,5;10;13,6;0,5;10,7;0,8
0;16;12,9;0,5;13,3;1,3
0;20;10,1;0,6;17,3;1
0;17;13,7;0,5;11;0,8
0;21;5,5;0,9;24,6;0,9
16,2;13;6,7;0,6;15,4;0,9
15;15;10,9;0,4;8,7;0,7
15,1;14;13,4;0,4;5,9;0,6
15;15;11,8;0,4;9,1;0,5
14,3;11;4,9;0,4;14;0,9
13,9;10;9;0,3;9,3;3,3
17,8;15;5,4;0,3;12,7;5,3
13,3;13;4,8;0,4;12,4;5
12;12;4,7;0,3;12,4;8
20;16;3,7;0,4;13,6;5,9
17,7;16;3,8;0,4;10,3;3,2
17;17;3,3;0,4;9,8;1,9
24,9;13;5,6;0,4;9,5;1,4
18,1;11;5,3;0,4;8,1;1,4
21,2;14;9,3;0,3;6,6;3,8
15,8;10;13,2;0,3;3,9;3,9
12,2;7;14,9;0,3;3,7;2,1
9,6;4;17,5;0,3;1,7;0,7
21,7;3;18,8;0,3;1,6;0,6
15,7;4;18,8;0,3;2,5;0,6
11,4;1;18,8;0,3;1,6;0,6
8,7;2;17;0,3;2;0,6
6,7;4;14,5;0,3;2,8;0,7
5,5;4;12,9;0,3;4,2;0,7
5;5;11,4;0,4;6;0,7
6;6;7,8;0,5;11,3;0,6
0;7;6;0,4;11;0,7
10,3;10;3,8;0,5;12,3;1
12;12;0,8;0,6;15,4;1,3
14;14;0,6;0,7;16,9;1,5
16,3;10;0,6;0,5;13,6;1,7
16,8;13;0,7;0,5;13,8;2
12,5;8;0,8;0,4;14;3,3
21,6;9;0,7;0,4;11,5;2,1
15,7;13;0,9;0,4;10;1,9
24,4;16;0,6;0,6;12;2
30,5;20;1;0,7;10,9;3
36,7;13;2,5;0,5;10;6,4
31,1;13;6,2;0,5;9,3;4,3
33,4;6;10,4;0,3;5,4;1,6
24,6;1;14,4;0,3;2,9;0,8
34,1;0;17,1;0,3;2,1;0,5
27,6;0;19;0,3;2;0,2
28,6;4;18;0,3;1,7;0,2
20,5;4;17;0,3;2,1;0,2
14,5;3;14,3;0,3;4,5;0,3
15;15;21,6;0,4;4,7;0,6
10,9;7;20,1;0,3;3,2;0,6
0;20;21,6;0,4;4,6;0,7
0;20;21,3;0,5;6,8;0,5
22,2;17;13,5;0,5;10,8;0,5
16,1;4;13,4;0,4;6,2;0,5
11,8;1;13,2;0,3;3,7;0,4
8,7;0;10,1;0,4;6,4;0,3
6,5;5;8,1;0,3;9,5;0,9
8;8;9,1;0,3;7;0,8
7;7;10,5;0,3;7,5;0,7
4,3;0;8;0,2;10,5;0
0;14;3,2;0,2;22;0
0;14;2;0,3;20,5;0
0;15;2;0,5;17,7;0
9;9;3,9;0,3;13;0
17,7;15;6,8;0,2;10,5;0
21;11;11,6;0,1;6,7;3,2
23,7;10;12,3;0,1;5,7;2,4
18,1;6;14,4;0,1;4,8;1,2
18,2;13;16,7;0,2;7,5;0,9
31,2;11;18,2;0,3;10,1;0,8
23,4;9;22,7;0,1;5,9;1
21,3;8;23,2;0,1;3,7;0,6
15,1;7;22,9;0,1;5,9;0,6
16;16;16,4;0,4;17,5;0,6
12,2;12;10;0,4;20,6;0,8
19,9;17;12;0,2;13,8;0,7
14,7;7;10,7;0,2;10,5;0,7
16;16;1,4;0,5;20,5;0,7
0;13;1;0,5;21,5;0,9
0;16;0,7;0,4;20,3;1,1
0;19;0,5;0,7;19,5;1,2
11,7;8;0,8;0,5;18,2;1,7
17,2;8;3;0,3;13,8;1,4
13,4;5;3,3;0,3;12,2;1,5
10,1;8;1,7;0,3;16,9;1,8
12;7;1,2;0,3;14,9;1,5
12;12;1,3;0,7;16;2,2
0;17;3,6;0,5;13,4;4,4
21,8;9;7,4;0,4;11,3;2,7
16,9;8;13,5;0,3;4,9;0,8
20,9;9;16;0,2;3,6;0,5
16,2;9;16,3;0,3;3,6;0,5
12,4;9;15;0,3;5;0,5
52,5;9;14,9;0,4;5,3;0,7
43,4;8;15,8;0,3;3,7;0,6
31,8;7;21,3;0,3;3,8;0,7
22,8;17;23,3;0,3;6,7;0,8
20;20;18,2;0,5;13,1;0,8
0;14;11,3;0,6;18,2;0,8
0;21;13,5;0,4;9,8;0,6
8,4;6;17,9;0,3;5;0,5
12;12;14,9;0,3;8;0,4
18;18;8,2;0,4;11,7;0,3
20,1;12;5,2;0,4;14,6;0,4
19,1;13;4,4;0,3;12,4;0,9
23,3;19;1,5;0,5;17,1;0,9
22,2;14;0,5;0,4;16,2;0,8
23,3;10;0,6;0,4;16,4;0,8
19,8;9;0,6;0,5;14,1;0,9
17,7;8;0,8;0,5;12,5;1,1
0;22;0,7;1,1;17,9;1,4
17,5;13;2,1;0,6;14,7;1,5
18,1;15;4,2;0;0;0
19,4;13;0;0;0;0
25,3;7;15,4;0,3;5,4;0,7
22,7;7;17;0,3;6,8;0,7
17;5;16;0,3;6,3;0,7
29;6;16,8;0,3;5,9;0,7
35,1;10;17,1;0,3;6,3;0,7
34,7;12;14,9;0,3;8,5;0,7
40,4;11;15,9;0,3;6,7;0,7
39,4;10;13,1;0,4;10;0,9
28;7;12,8;0,3;10;1
24,3;16;11,3;0,4;10;1
24,5;13;9,3;0,4;10,9;0,9
25;25;3,7;0,5;20,7;1
38,1;17;1;0,5;17,1;1,2
44,8;22;0,8;0,5;16,8;1,4
42,8;10;0,7;0,4;14,7;1,2
41,6;16;0,9;0,4;12,8;1,1
36,4;12;0,8;0,4;11,3;0,9
29,4;22;0,7;0,4;13;1,1
37;33;0,8;0,5;15;1,5
52,1;24;0,8;0,6;13,9;1,5
51,3;20;0,8;0,7;12,6;1,6
57,2;26;1,1;0,7;14,1;2,3
56,7;12;7,6;0,4;9,1;2,7
57,7;17;12,4;0,3;7,9;1,4
48,4;15;16,6;0,3;5,4;0,8
35,8;10;18,4;0,2;3;0,7
35,6;8;18,3;0,3;4,4;0,6
49,1;7;16;0,3;4,5;0,5
44,5;8;15,5;0,3;4,5;0,5
31,6;12;20,8;0,3;5,5;0,6
33,4;22;22,1;0,4;10,2;0,8
25,9;24;14,9;0,5;15,6;0,9
31,3;18;10,9;0,5;18,6;1
27,3;12;13,7;0,5;13,1;0,9
24,8;17;12,9;0,3;9,6;0,8
21,4;9;7;0,4;15,7;2
16,3;7;5,1;0,4;15;2,7
21,9;13;5,5;0,3;13,8;1,9
26,9;15;4,3;0,3;13,3;3,7
18,9;13;3,8;0,4;13,9;2,5
17,3;15;3,1;0,3;14;1,5
15;15;1,4;0,3;16,1;1,6
26,4;10;1,4;0,3;14,3;1,4
19,3;10;1,5;0,3;15,3;1
0;48;0,9;0,8;16,1;1,3
48,3;31;2,1;1;19,9;3,3
60,6;19;9,3;0,6;16,5;3,4
56,9;28;16,5;0,7;18,3;2,3
59,2;26;25,2;0,6;20,4;1,8
51,4;34;37;0,5;18,4;1,6
63,6;20;49,7;0,5;15,4;1,4
60;20;48,8;0,4;10,2;1,3
46,6;16;34;0,4;6,4;1,2
32,7;15;32,2;0,3;5,1;1
40,6;9;30;0,3;2,7;0,7
29,9;6;23,3;0,2;1,6;0,6
22,8;6;21,6;0,2;1,7;0,6
16,3;13;19,7;0,3;3,1;0,5
14,8;7;16,4;0,3;5,5;0
13,6;6;12,8;0,3;9,9;2,3
18,8;5;16,8;0,2;3,8;1,4
13,2;3;19,6;0,2;1,7;1,1
10,8;6;15;0,3;8,1;0,9
7,6;4;16,7;0,3;7,8;0
7;6;15,5;0,3;8,1;1,3
6,7;4;10,7;0,4;11,7;1,1
5,8;2;7,9;0,4;14,4;1,2
6,2;2;8,5;0,3;10;1,2
6;6;11,5;0,3;7;1,1
10,9;7;15;0,4;8,1;1,3
9,4;9;20,7;0,3;4,8;1,3
8;8;21,4;0,3;3,3;1,3
9;7;26,7;0,3;1,6;1,1
26,8;6;30,1;0,3;2,7;1,1
20,4;6;31,4;0,3;2,8;1,1
21,3;10;29,7;0,3;3,5;1,1
22,6;11;29,7;0,3;2,1;1,2
16,3;10;27,6;0,3;2;1,1
15;15;24,6;0,3;2,5;1
9,8;8;23,5;0,3;3,6;1,1
8,3;8;17,7;0,4;10,5;1,4
10;10;13,9;0,6;16,2;1,2
0;9;12,9;0,5;14,3;1,2
0;8;14;0,4;6,2;1,1
5;5;18,8;0,3;4,5;1
5,3;4;16,5;0,3;8,2;1
6;6;10,2;0,3;11,2;0,6
7,5;4;11,3;0,3;5,9;0,6
7,1;6;7,2;0,3;9,8;0,6
0;12;5,1;0,3;11,2;0,8
8;8;3,2;0,3;14,1;0,7
17;17;1,4;0,5;14;1
0;18;1,5;0,9;16,1;1,1
0;37;2;1,1;20,4;1,8
35,6;16;13,8;0,6;12,5;1,5
30,3;10;25,7;0,3;5,1;0,9
22,4;7;28,4;0,3;3,5;0,7
30,7;7;28,5;0,3;3,5;0,7
22,5;12;28,3;0,3;4,5;0,5
31,2;16;32,6;0,4;7,6;0,8
40,8;21;46,1;0,4;5,8;0,8
32;17;44,1;0,4;5,4;0,8
32,1;14;40,5;0,4;6,1;0,8
23,7;17;37;0,4;7,3;0,7
25,7;13;27,4;0,5;13,7;0,9
27,6;19;18,4;0,7;19;1,1
23,2;23;15,9;0,7;17,1;1
37,9;19;13,2;0,6;17,7;0,9
38,3;27;8,5;0,6;22,5;1,2
45;22;6,3;0,6;23;1,2
43,8;34;9,4;0,5;19,8;1,2
41,9;23;5,9;0,5;18,8;1
38,2;23;3,9;0,5;18,8;0,9
43,1;14;2,5;0,4;16,7;0
31,9;21;1,4;0,4;16,8;1,7
35,2;23;1,7;0,5;17,8;1,5
0;38;1,2;0,9;19,5;1,7
61,9;24;2;0,7;17,1;1,7
68,2;29;6,7;0,5;17,2;1,6
53,4;21;13,1;0,4;16;1,4
57;30;19,7;0,5;17,4;1,4
51,2;30;31,2;0,4;13;1,4
42,3;28;41;0,3;11,5;1,5
47,3;18;33,8;0,2;5,4;1,4
45,7;6;30;0,2;3,7;1,1
44,9;11;31,4;0,2;4,1;1,1
35,7;13;29,3;0,2;5,1;1,1
26,6;18;25,3;0,4;13,4;1,1
21;21;14,7;0,8;29,1;1,2
23,7;15;10,6;0,5;19,7;1,4
25,3;15;10,6;0,4;15,7;1,3
38,7;16;7,1;0,5;17,4;1,3
28,3;21;2,5;0,5;24;1,4
20,9;8;2,2;0,4;19,8;1,3
22;22;0,7;0,6;20,9;1,1
24,8;17;0,7;0,6;17,6;0,9
18,1;14;0,7;0,5;17,6;0,8
21,2;15;0,8;0,5;18,5;0,8
21;20;0,7;0,5;18;0,7
0;30;0,7;0,6;18,3;0,7
33;13;1,3;0,5;19,8;0,7
27,2;22;3,5;0,5;18,7;0,8
42,2;29;8,2;0,5;13,1;2
40,4;16;18,6;0,4;7,4;1,2
41,9;11;25,5;0,3;6,7;0,4
31,2;9;27,9;0,3;5;0,4
23,3;9;29,9;0,3;5,8;0,4
22,4;15;36,3;0,3;6,3;0,5
17,4;16;39,2;0,3;5,4;0,5
0;23;32,2;0,6;16,1;0,5
0;40;18,9;1;41,4;0,9
35;22;25,3;0,5;14,8;0,9
32,2;16;27;0,3;6,4;0,5
24,1;13;26,9;0,3;6,4;0,4
18,5;14;17,4;0,4;14,6;0,6
16,2;9;9,1;0,4;18,8;0,5
12,5;9;13,4;0,4;14,6;0,3
18;18;5,2;0,4;19,2;0,6
16;16;2,2;0,4;18;1
0;18;1;0,5;19,1;1,2
26,8;9;0,9;0,4;15,2;1
21;21;0,6;0,5;17,4;1,4
0;33;0,6;0,7;19,4;1,8
35,8;15;0,5;0,7;15,4;1,6
41,7;21;0,7;0,7;15,9;1,6
38,3;22;2,2;0,6;14,5;1,6
50,9;29;8,2;0,5;13,6;4,6
42,2;17;19,8;0,4;8,9;4,7
44,4;11;26,6;0,3;4,8;1,9
49,6;16;32,7;0,3;4,1;1,6
36,2;17;37;0,3;3,9;1,5
36;10;36,4;0,3;2,7;1,2
27,1;8;32,6;0,3;2,6;0,9
37,8;21;24,2;0,4;9;0,8
25,9;8;13,3;0,5;17,2;0,8
17,8;10;8,3;0,6;21,5;0,9
17;17;4,8;0,7;23,3;1
19,3;16;3,4;0,6;20,6;1
15,1;13;5,1;0,5;15,6;1,1
19;19;2,5;0,5;20,6;1,3
14,5;13;3,5;0,4;18,2;1,3
19;19;1,6;0,4;18,9;1,3
15,9;12;0,9;0,4;17,2;1,1
24;16;1,3;0,4;16;1
17,2;15;0,6;0,4;14,9;1,1
16,5;14;0,5;0,4;15,1;1,1
0;20;0,9;0,4;16,2;0,8
0;27;0,6;0,5;16,8;0,9
29,3;20;1,1;0,7;17,3;1,5
32;32;1,3;0,7;16,1;1,7
40,9;30;5,7;0,5;12,9;3,3
39,6;13;14,4;0,4;9,4;0,7
36,4;14;0;0;0;0
46,6;10;0;0;0;0
36,7;9;25,1;0,3;6,5;0
62,3;11;27,8;0,3;5,4;0
50,4;9;23,9;0,3;5,2;0
38,7;10;25;0,3;3,4;0
33;33;28,4;0,5;18,6;0,4
25,7;25;26,9;0,6;16,5;0,7
27;27;9,5;0,9;28,1;1,1
43,1;21;8,8;0,6;17,6;0,5
67;16;8,6;0,5;15,9;0,5
61,3;16;6,2;0,4;16,2;0,5
58,2;12;6,5;0,4;12,6;0,5
56,8;16;6,9;0,4;11,6;0,6
41,3;19;8,3;0,3;11,3;1,2
29,2;13;8,4;0,3;10,3;0,9
24,7;14;7,8;0,3;10,5;1,1
23,3;16;8,8;0,3;9,3;0,8
23,3;12;6,5;0,3;12,1;0,8
