PM10;PM2.5;OZONO;CO;NO2;SO2
25;14;12,9;0,2;9,5;0
34;16;8,9;0;10,3;0
27;26;3,6;0;13,2;0
30;26;1;0;15,3;0
41;26;0,6;0,2;14;0
48;30;0,7;0,4;14,3;0
51;34;0,7;0,3;14,8;0
45;27;1,1;0,5;12,5;0
54;33;3,9;0,7;14,3;0
68;33;11,4;0,7;15,2;0
61;28;26,1;0,1;7,1;0
35;22;32,5;0;4,4;0
26;17;35,9;0;1,2;0
26;10;37,9;0;1;0
26;8;32,7;0;2,4;0
30;12;59,9;0,1;5,4;0
69;25;55;0;4,1;0
59;36;48,4;0;2,2;0
54;25;39,7;0;2,9;0
47;26;31,8;0;4,2;0
43;27;21,4;0,1;9;0
34;19;21,8;0;9;0
27;15;23;0;7,5;0
27;13;14,7;0,1;12;0
37;21;6,8;0,1;17;0
37;25;10,2;0,1;13,7;0
40;21;14,5;0,1;10,1;0
34;25;8,3;0,1;13,4;0
34;20;9,2;0,1;11,1;0
36;26;1,6;0,1;15,9;0
43;33;0,8;0,3;15,8;0
49;34;2;0,3;14,4;0
50;32;5,8;0,5;13;0
61;29;16,2;0,2;6,8;0
28;17;25,6;0;1,7;0
18;14;27,9;0;0;0
24;14;31,1;0;0;0
22;10;30,7;0;0,9;0
25;10;28,2;0;2,5;0
21;9;54,6;0,1;3,3;0
50;40;59,8;0,1;3;0
48;35;46,5;0,1;2,6;0
52;32;34,9;0,1;3,8;0
49;31;32,5;0,1;4,2;0
108;35;8,7;0,4;17,5;0
55;26;13,6;0,2;11,6;0
31;17;9,4;0,2;12,5;0
32;21;3,4;0,6;15,2;0
53;24;0,7;0,6;15,7;0
53;23;0,6;0,5;14,2;0
36;19;0,8;0,4;18,9;0
28;21;0,8;0,4;28,3;0
29;23;0,6;0,4;29,3;0
30;18;0,7;0,5;38;0
40;23;0,7;0,8;45,1;0
47;30;1,6;0,4;22,5;0
30;23;6,1;0,4;17,4;0
49;24;14,2;0,2;12,4;0
31;21;23,6;0,1;2,1;0
21;13;25,8;0;0;0
18;8;24,1;0,1;1;0
19;6;22,4;0,1;2,7;0
16;10;23,5;0,1;2,3;0
17;7;21,8;0,1;4,2;0
15;6;21,5;0,1;4,9;0
23;10;19,4;0,2;6,6;0
29;10;18,5;0,1;5,2;0
13;9;15,1;0,1;5,9;0
18;6;7,7;0,4;13,2;0
22;16;0,8;0,8;25,7;0
36;18;2,7;0,4;21,5;0
25;11;0,6;0,7;27,7;0
38;13;0,6;0,8;37,1;0
57;18;0,7;0,6;30,4;0
41;18;0,7;0,4;33;0
31;15;0,8;0,3;28,6;0
29;13;0,7;0,3;37,2;0
39;21;0,8;0,1;15,7;0
30;20;0,8;0,4;31,2;0
45;29;0,9;1,3;70,6;0
73;53;2,8;0,6;30,6;0
58;33;8,1;0,4;19,7;0
33;13;12,9;0;5,3;0
17;9;14;0;4,4;0
8;6;13,8;0;5,9;0
24;8;15,5;0;3,4;0
24;13;16,6;0;2,2;0
25;6;15,1;0;4,7;0
18;5;15,7;0;5,5;0
29;7;16,3;0;5,5;0
23;6;13,4;0,1;8,3;0
19;4;8,8;0,1;12,8;0
26;11;13;0;5,4;0
23;10;5,1;0,2;20,9;0
31;13;4;0,3;22,2;0
26;14;5,8;0,2;20,5;0
19;12;9,1;0;10,6;0
27;8;1,3;0,1;25,3;0
30;13;1,3;0;21,6;0
23;13;0,8;0,5;36,5;0
35;25;0,7;0,6;54,2;0
45;0;0,8;0,4;33,9;0
29;0;0,7;0,1;30;0
36;0;1;0,6;35,3;0
48;0;3,5;1;49,8;0
56;0;7,8;0,5;30;0
53;0;16,6;0;8,5;0
30;0;19,1;0;3,5;0
11;0;19,7;0;1,1;0
25;2;19,6;0,1;2,2;0
21;4;17,3;0,1;5,2;0
12;4;16,6;0,1;6,5;0
16;7;16,9;0,2;8,2;0
21;7;15,6;0,2;10;0
27;6;14,2;0,3;11,6;0
24;5;15,4;0,2;7,7;0
22;5;12,7;0,2;13,4;0
29;9;17,3;0,1;5,7;0
20;8;20,1;0,1;2,8;0
22;8;10;0,2;13,7;0
25;9;2,7;0,4;35,8;0
35;15;0,8;0,4;35,3;0
35;16;0,7;0,6;49,6;0
40;19;0,8;0,4;29,8;0
27;19;0,8;0,5;26,1;0
35;20;0,9;0,8;27,1;0
62;36;0,8;1,2;20,2;0
66;38;0,9;1,6;19,7;0
62;43;2,7;1,5;26,5;0
80;39;8,3;0,5;27,1;0
60;27;15,5;0,2;12;0
26;13;17,8;0;2,6;0
23;7;23;0;1,1;0
18;1;24,2;0;1,4;0
25;0;19;0,1;4,1;0
21;0;14,5;0,1;7,1;0
28;6;9,4;0,2;11,1;0
21;6;12,1;0,2;10,5;0
29;4;12,3;0,3;13,2;0
28;11;5,6;0,4;20,4;0
40;15;11,8;0,1;11,5;0
26;11;11,5;0,1;11,9;0
28;9;15,7;0;6,6;0
22;7;9,7;0,2;12,5;0
27;10;6,4;0,2;20,4;0
27;11;9;0,1;10;0
25;9;2,3;0,2;15,8;0
27;11;10,6;0,1;10,1;0
19;14;5;0,1;14,4;0
30;13;8,8;0,1;13,8;0
25;11;4,8;0,1;15;0
26;17;1,7;0,8;20,4;0
47;23;7,8;0,6;15,9;0
43;20;19,5;0,1;4,7;0
24;9;19,9;0,1;4,4;0
23;8;24;0;1,1;0
16;7;26,7;0;0,3;0
24;7;26,5;0;0,4;0
23;7;21,1;0,1;4,3;0
24;6;21,1;0,1;4,9;0
13;4;16,5;0,2;10,9;0
26;11;16;0,2;13,3;0
41;15;16,2;0,2;12,7;0
28;12;8,4;0,3;14,7;0
23;9;2,9;0,4;18,8;0
45;17;2,5;0,3;17,8;0
34;18;7,4;0,3;14,9;0
30;18;11,4;0,1;8,8;0
22;8;5,3;0,4;14,7;0
36;19;0,7;1;19,8;0
56;29;0,8;0,7;17,5;0
44;23;0,7;0,5;14,8;0
41;19;0,8;0,5;13,1;0
33;22;1,4;0,7;20,1;0
47;26;0,9;0,4;17,7;0
38;27;1,2;0,6;16,6;0
46;27;5,5;0,6;16,4;0
37;21;18,4;0,1;4,8;0
31;13;0;0;0;0
25;11;0;0;0;0
0;0;16,7;0;0;0
17;0;17,7;0;0,5;0
16;3;16,9;0;2,6;0
24;4;15,7;0;3,2;0
29;11;16,2;0;4,2;0
29;13;16,2;0;4,2;0
26;11;15,1;0;4,6;0
27;9;7,6;0;11;0
34;14;6,7;0;12,2;0
32;13;9,2;0;9,5;0
31;16;11,9;0;5,5;0
24;13;11,7;0;5,2;0
28;11;8,2;0;8;0
35;16;4,1;0,3;11,5;0
20;10;15,3;0;2,1;0
13;8;16,2;0;0,9;0
18;9;12,9;0;2,8;0
15;7;12,8;0;3,4;0
21;5;5,2;0,3;9,4;0
23;11;4;0,3;11;0
24;11;15,4;0,2;3;0
19;8;19,1;0,1;0,8;0
11;6;22,4;0,1;0,3;0
16;5;21,8;0,1;0,2;0
20;7;23;0,1;0;0
25;6;23,5;0,1;0;0
24;5;19,8;0,1;1,6;0
20;6;21,5;0,1;1,7;0
31;6;40,9;0,1;1,2;0
39;17;35,4;0,1;0,8;0
38;16;29,3;0,1;2;0
29;14;14,4;0,3;8,2;0
24;10;12;0,2;6,6;0
29;14;17,5;0,1;1,7;0
18;11;19,1;0;1,1;0
19;8;19,6;0;0;0
25;6;11,8;0,2;4,3;0
21;9;6,4;0,2;9,5;0
33;13;1,8;0,3;11,9;0
33;16;1;0,3;10,4;0
36;13;0,8;0,3;7,9;0
27;17;5,3;0,2;4,7;0
18;10;6,7;0,1;5,1;0
23;8;3,3;0,3;7,3;0
26;18;7,6;0,3;5,6;0
36;23;13,9;0,2;2,7;0
25;2;17,9;0,1;0,7;0
22;4;20,3;0,1;0;0
17;3;18,3;0,1;0,6;0
14;0;21,5;0,1;0;0
19;4;19,2;0,1;0;0
18;7;17,3;0,1;0,9;0
22;5;16,3;0,1;2,1;0
23;3;15,8;0,1;1,9;0
27;8;13,9;0,2;4,4;0
24;12;7,5;0,4;8,7;0
25;15;11,5;0,2;5,4;0
27;13;13,7;0,1;3,8;0
17;9;14,5;0,1;2,6;0
20;6;14,1;0,1;3,1;0
18;11;6,3;0,2;8,3;0
30;19;0,8;0,3;10,6;0
27;14;0,7;0,3;9,2;0
23;15;0,6;0,3;8,2;0
27;17;0,7;0,2;7,3;0
26;18;0,7;0,3;7,2;0
42;18;0,7;0,2;6,8;0
37;25;1;0,4;7,3;0
47;27;3,1;0,6;7,5;0
57;32;8,8;0,5;6,8;0
49;25;16,9;0,2;2,2;0
23;10;19,4;0,1;0;0
19;8;18,9;0,1;0,3;0
19;6;16,1;0,1;1,8;0
27;5;14,1;0,1;2,8;0
23;4;14,7;0,1;3,2;0
25;6;16,2;0,1;2,9;0
28;9;16,5;0,1;2,5;0
27;6;12,6;0,3;7,8;0
33;16;9,7;0,3;8,4;0
25;12;12,4;0,2;5,5;0
26;11;13,3;0,1;4,6;0
25;7;7,7;0,2;9;0
31;10;9,5;0,2;7,1;0
25;12;5,9;0,2;8,7;0
31;13;1,5;0,2;9,8;0
28;8;2;0,3;8,4;0
33;9;1,4;0,2;8,8;0
27;10;0,9;0,2;9,2;0
21;14;0,7;0,5;9,6;0
39;24;0,7;1,3;11,7;0
72;38;1;0,6;9,3;0
37;24;2,9;1;11,2;0
70;35;13;0,3;5,3;0
36;16;18;0,1;0,5;0
23;6;18,9;0,1;0;0
22;4;20,2;0,1;0,3;0
23;7;20,1;0,1;0,2;0
25;5;17,7;0,1;1,1;0
26;6;20,8;0,1;1,8;0
31;10;24,3;0,2;2,3;0
34;17;18,6;0,2;2,5;0
31;8;12,6;0,2;4,2;0
25;10;9,9;0,3;7,9;0
40;17;3,3;0,4;10;0
38;16;2,1;0,5;11;0
38;21;7,9;0,4;6,6;0
25;18;8;0,2;5,9;0
28;10;3,8;0,3;8,7;0
17;8;12,6;0,1;2;0
23;8;0,7;0,3;9,1;0
27;18;2,8;0,3;7,9;0
25;12;2,1;0,3;7,6;0
40;18;1,6;0,3;9,7;0
32;22;1,5;0,6;9,6;0
50;30;4,9;0,6;7,3;0
35;14;7,7;0,4;6,2;0
27;13;9,7;0,3;5,7;0
32;11;13,9;0,1;2,4;0
21;10;17;0,1;0,7;0
26;7;18,2;0,1;0,9;0
21;5;16,8;0,1;1,6;0
19;8;15,6;0,2;2,4;0
25;7;17,7;0,1;1,2;0
18;9;16,6;0,1;4,2;0
28;8;18,3;0,1;3,5;0
18;6;9,6;0,5;17,8;0
33;10;4;0,4;18,9;0
29;11;3,4;0,4;16,1;0
27;11;3,5;0,6;23;0
37;19;3,3;0,3;11,7;0
19;11;2,3;0,5;15,2;0
28;14;1,3;0,4;19,6;0
26;9;1,6;0,1;16,5;0
19;8;0,8;0,1;18,5;0
21;5;0,8;0,1;17,3;0
24;9;0,8;0;21;0
32;14;0,8;0,2;35,6;0
40;18;0,8;0,4;43,2;0
48;19;1,2;0,2;24,6;0
46;19;3,9;0,5;30,7;0
51;29;11;0;9,4;0
14;6;15,3;0;2;0
23;6;15,3;0;0;0
23;4;0;0;0;0
0;5;23,1;0;1,5;0
26;4;12,7;0;10,3;0
29;5;14,7;0;3,8;0
15;3;10,4;0,1;8,8;0
25;12;2,8;0,3;18,3;0
23;10;3,7;0,2;14,3;0
19;12;0,8;0,7;16,5;0
40;21;2,1;0,4;12,6;0
29;6;3,8;0;7,6;0
21;5;0,8;0,3;11,4;0
35;8;0,7;0,7;11,7;0
28;10;0,8;1;10;0
42;16;0,6;0,6;8,7;0
27;10;0,9;0,4;8,2;0
29;11;0,6;0,3;8,6;0
22;10;0,7;0,3;9,4;0
27;13;0,7;0,6;10,5;0
30;15;0,7;0,6;10,3;0
47;27;1;0,3;9;0
29;22;1,9;0,3;8,2;0
28;15;5,4;0,2;6,1;0
35;20;11,5;0,1;6,6;0
27;13;19,2;0,1;4,5;0
24;13;26,9;0;1,1;0
26;7;34,6;0;0;0
21;8;31,4;0;0;0
26;8;30,2;0;0;0
16;7;26,7;0;1,7;0
23;13;23,7;0,1;4,8;0
27;9;14,6;0,3;13,2;0
22;16;14,2;0,2;11,8;0
20;5;13,1;0,1;7,8;0
11;4;5,8;0,2;12,2;0
24;10;1,6;0,3;17,1;0
26;10;1,1;0,3;17,6;0
18;10;0,7;0,5;15,7;0
27;14;0,8;0,3;12,4;0
25;10;0,8;0,3;13,4;0
35;7;0,8;0,2;14;0
20;14;2,8;0,1;11,8;0
30;11;1;0,1;12,6;0
17;9;0,9;0,2;13,1;0
19;11;1,1;0,2;12,5;0
20;17;3,5;0,3;11,2;0
23;17;7,2;0,2;10,7;0
24;18;17,2;0,1;3,6;0
12;5;19,7;0,5;11,7;0
26;16;26,2;0,4;14,4;0
25;20;38,2;0,3;9,7;0
19;19;39,7;0,1;1,7;0
21;12;27,5;0,1;6,5;0
22;9;14,4;0,3;14,3;0
17;12;18,6;0,2;10,4;0
19;12;9,3;0,4;19,1;0
15;8;3,4;0,4;23,3;0
20;12;4,6;0,3;19,8;0
21;11;2,1;0,6;21,5;0
27;17;1,1;0,5;22,6;0
22;17;1,5;0,3;19,5;0
22;16;1,3;0,3;17,4;0
31;17;0,7;0,4;17,3;0
31;17;1,8;0,2;13,3;0
21;15;3;0,2;11;0
27;17;0,6;0,3;11,8;0
30;14;0,7;0,3;9,3;0
27;12;0,7;0,4;7,3;0
22;12;0,9;0,6;11,7;0
23;20;2,9;0,6;10;0
26;14;9,5;0,3;7,1;0
27;12;22;0,2;5,2;0
18;17;32,3;0,1;3;0
19;9;39,4;0,1;1,7;0
14;7;45,9;0,1;1,3;0
13;6;36,4;0,1;2,3;0
13;6;23;0,3;10;0
26;18;14,2;0,3;11,2;0
16;9;25,6;0,1;2,8;0
20;13;18,6;0,2;9;0
23;13;11,7;0,3;15,9;0
25;12;24,1;0,1;7,3;0
11;8;26,9;0,1;6,7;0
20;6;26,6;0,1;6,8;0
21;8;22,6;0,1;10,7;0
27;18;21,7;0,1;7,3;0
23;13;3,2;0,2;18,7;0
27;19;0,8;0,3;17,4;0
33;14;0,7;0,3;15,8;0
24;13;2,3;0;18,5;0
27;18;0,7;0,5;16,6;0
42;24;0,6;0,1;20;0
32;21;0,8;0,7;20,3;0
48;36;1,8;1;22,8;0
54;34;8,8;0,7;20,9;0
41;19;25,7;0,1;9,1;0
25;15;28,9;0;5,1;0
13;2;29,6;0;1,6;0
14;3;34,2;0;0,6;0
16;3;47,8;0;2,9;0
31;14;49,9;0;2,7;0
42;24;42,9;0;5,2;0
37;25;23,1;0,4;28,8;0
54;36;30,9;0,3;23,1;0
39;29;22,9;0,1;12,2;0
33;16;11,9;0,2;19,8;0
32;22;19,8;0;9,7;0
19;17;20,6;0;4,8;0
22;15;13,3;0;10,5;0
22;17;12,3;0,1;13,6;0
21;17;13,2;0;13,3;0
25;19;14;0;13,5;0
29;20;9,2;0;16,4;0
30;20;7,3;0;15,5;0
26;26;4,5;0;17,9;0
28;28;0,8;0,1;22,2;0
28;24;1,4;0,2;20,4;0
38;32;4,2;0,4;20,6;0
49;38;11,2;0,3;14,7;0
33;31;20;0,2;10,4;0
33;23;28,5;0,1;6,8;0
31;21;35,5;0;3,9;0
17;17;35,2;0,1;5,3;0
36;21;21,8;0,4;23,8;0
62;39;35,6;0,2;14,3;0
49;32;36,7;0,1;9,6;0
34;34;9,7;0,6;37,5;0
48;48;8,1;0,5;33,4;0
44;35;15,3;0,1;11,1;0
29;19;12,5;0;8;0
18;15;0;0;8,8;0
0;0;0;0,2;13,7;0
24;20;0;0,1;14;0
14;14;0;0,3;17,7;0
20;12;0;0,1;15,2;0
21;13;0;0,1;14,5;0
26;10;0;0,1;13,8;0
22;16;0;0,3;14,6;0
20;17;0;0,3;14,4;0
27;19;0;0,9;16,9;0
49;31;0;0,8;14,2;0
35;23;0;0,5;14,9;0
40;23;0;0,6;15,9;0
35;25;0;0,3;12,4;0
32;19;0;0,2;6;0
22;15;0;0,1;2,2;0
18;13;0;0,1;1,3;0
21;15;0;0,1;1,6;0
19;9;0;0;0,2;0
15;8;0;0,1;2,5;0
22;14;31,3;0,1;2,9;0
28;19;30,4;0,1;4,7;0
27;23;27,9;0,2;6,9;0
31;23;20,6;0,2;10,2;0
32;27;20,8;0,4;14,3;0
33;29;5,9;0,6;25,9;0
50;27;11,7;0,4;18,3;0
44;34;1;0,7;25,4;0
52;36;0,8;0,5;24,1;0
44;30;0,8;0,6;20,5;0
39;27;0,8;0,5;15,4;0
35;24;0,7;0,6;14,7;0
44;32;2,2;0,5;16,4;0
37;22;1,2;0,4;17,3;0
42;27;0,9;1,1;19;0
67;48;3,2;1,1;20,4;0
56;40;12,8;0,4;12,5;0
37;24;21,1;0,2;5;0
29;11;27,1;0;1;0
28;18;28,4;0,1;2;0
21;9;30,5;0;1,4;0
13;12;30,9;0;1,6;0
19;7;29,3;0,1;3;0
19;12;36,9;0,1;8,3;0
36;19;43,2;0,1;4,1;0
39;23;36,7;0,1;5,7;0
35;27;32,1;0,1;6,5;0
46;29;28,9;0,2;7,1;0
40;29;2,8;0,8;32,2;0
56;34;0,8;0,7;28,9;0
48;29;0,9;0,7;23,5;0
51;29;0,7;0,7;21,9;0
55;35;0,6;0,8;20,7;0
63;36;0,7;0,7;18,1;0
53;34;0,7;0,7;15,3;0
40;30;0,7;0,4;14;0
36;25;0,7;0,3;19,9;0
38;30;0,8;0,3;19,6;0
49;33;0,9;1,1;19,8;0
68;44;2,6;0,9;23,6;0
69;43;9,2;0,7;24,1;0
63;41;26,7;0,3;10,1;0
37;25;39,3;0,2;4,5;0
40;24;52,2;0,2;5,2;0
40;19;62,1;0;0;0
34;21;56,5;0,1;4;0
44;24;0;0,1;2,6;0
44;24;53,4;0,1;1,9;0
45;27;0;0,1;4,3;0
0;0;0;0,1;5,4;0
37;29;36,2;0,2;9,8;0
0;0;0;0,6;11,4;0
45;32;0;0,6;9,2;0
32;15;0;0,5;8,7;0
29;24;0;0,5;5,2;0
28;21;0;0,5;3,6;0
28;22;0;0,1;4,1;0
28;20;0;0,1;5,4;0
27;23;0;0,1;7,9;0
30;17;0;0,1;3,8;0
27;21;0;0,1;12,5;0
35;22;0;0,1;11,7;0
32;27;0;0,7;22,4;0
49;36;0;0,7;18,6;0
54;34;0;0,2;7,2;0
35;27;0;0,1;1,8;0
31;21;0;0,1;1,1;0
27;16;0;0,1;1,7;0
28;17;0;0,1;1,7;0
35;24;0;0,2;3,9;0
52;33;0;0,1;2,8;0
41;31;0;0,1;1,8;0
38;26;0;0,1;1,2;0
46;29;0;0,1;1,9;0
40;29;0;0,1;4,9;0
38;24;0;0,2;11,9;0
28;24;0;0,2;9,5;0
33;33;0;0,2;20,5;0
36;25;0;0,7;28,4;0
40;30;0;0,9;27;0
63;31;0;1,1;21,9;0
58;33;0;0,7;17,3;0
48;29;0;0,6;13,4;0
38;25;0;0,8;12,7;0
43;25;0;0,8;13,8;0
51;31;0;0,4;16,1;0
42;27;0;0,4;14,4;0
35;26;0;0,4;12,5;0
46;25;0;0,3;8,3;0
45;29;0;0,3;6,7;0
40;31;0;0,2;3,1;0
41;30;0;0,3;5,5;0
46;31;0;0,2;3,3;0
40;34;0;0,1;1,5;0
42;31;0;0,1;1,1;0
40;36;0;0,1;1,4;0
48;42;0;0,1;1,1;0
36;32;0;0,1;0,7;0
28;20;0;0,1;1,5;0
36;22;0;0,2;7,5;0
32;31;0;0,8;24,5;0
62;38;1,1;1;25,3;0
56;43;6;0,5;18,2;0
37;30;9,5;0,3;9,8;0
42;31;1,1;0,6;17,6;0
51;30;0,7;0,5;14,7;0
63;27;0,8;0,3;13,4;0
42;31;0,7;0,6;13,3;0
47;34;0,8;0,4;11,5;0
44;29;0,8;1;14,4;0
66;46;0,9;1,2;14,6;0
77;46;2,1;1,4;21;0
79;43;12,7;0,4;11,8;0
44;23;19,5;0,6;7,5;0
32;20;15,5;0,2;1,8;0
0;10;15,7;0,3;2,6;0
30;12;0;0;0;0
29;8;0;0,3;0;0
71;26;0;0,3;0;0
58;39;0;0,3;0;0
45;32;0;0,4;0;0
35;28;0;0,3;0;0
30;8;0;0,5;0;0
35;25;0;0,4;0;0
34;28;0;0,4;0;0
27;23;0;0,4;0;0
30;27;0;0,3;0;0
30;24;0;0,3;0;0
36;24;0;0,3;0;0
30;16;0;0,3;0;0
31;25;0;0,3;0;0
27;19;0;0,3;0;0
29;15;0;0,3;0;0
42;28;0;0,5;0;0
52;29;0;0,6;0;0
50;34;0;0,6;0;0
41;30;0;0,5;0;0
30;17;0;0,4;0;0
33;19;0;0,3;0;0
23;15;0;0,3;0;0
23;11;0;0,3;0;0
25;12;0;0,3;0;0
24;8;0;0,3;0;0
21;8;0;0,3;0;0
29;15;0;0,3;0;0
19;12;0;0,4;0;0
31;23;0;0,5;0;0
38;17;0;0,4;0;0
33;16;0;0,4;0;0
27;18;0;0,3;0;0
28;19;0;0,3;0;0
22;17;0;0,3;0;0
31;17;0;0,3;0;0
26;15;0;0,3;0;0
26;20;0;0,3;0;0
34;28;0;0,4;0;0
29;19;0;0,4;0;0
41;30;0;0,4;0;0
35;26;0;0,9;0;0
67;48;0;1,2;0;0
73;41;0;0,4;0;0
35;24;16,1;0,4;0;0
36;19;0;0;0;0
26;16;23,9;0,1;3,7;0
34;11;20,9;0,1;5,6;0
31;13;20,7;0,1;5,2;0
18;7;22,5;0,1;2,9;0
23;5;21,1;0,1;4,3;0
23;11;20,9;0,1;4,2;0
18;8;14,3;0,2;10;0
25;10;12,6;0,2;11,1;0
28;11;15,4;0,1;6,7;0
23;11;10,3;0,1;11,6;0
26;11;11,2;0,1;10,5;0
39;23;9,7;0,2;11,9;0
35;14;0;0,4;18,4;0
45;22;1,2;0,3;16,9;0
35;9;3,9;0,1;14,7;0
24;10;2,8;0,2;15,5;0
26;17;0;0,2;15,5;0
31;22;0;0,3;16,6;0
40;26;1,3;0,3;15;0
39;29;6,6;0,3;13,5;0
21;19;13,8;0,3;10,2;0
36;18;17,3;0,1;6,2;0
20;17;15,9;0,1;8,4;0
23;4;19,3;0,1;5,2;0
22;15;19,9;0,1;5;0
21;11;22,6;0;2,6;0
22;8;19,7;0,1;6;0
21;10;22,1;0,1;4,3;0
15;7;22,3;0,1;3,4;0
20;7;18,6;0,1;6,8;0
20;13;11,1;0,3;12,9;0
23;13;8,3;0,3;16,7;0
23;11;15,6;0,1;9,5;0
25;11;17,2;0;5,1;0
16;15;19,5;0;2,7;0
19;11;15,2;0;6,8;0
19;9;16,8;0;6,5;0
21;8;8;0,1;13;0
20;8;6,9;0;14,1;0
27;7;11,2;0;9,2;0
21;9;9,5;0;12,2;0
16;7;8,6;0;12,4;0
24;13;4,6;0,2;16,1;0
25;13;7,7;0,3;15,2;0
35;14;11,7;0,2;10,7;0
27;14;11,4;0,2;10,5;0
23;19;16;0,1;6;0
28;12;20,1;0;1,4;0
0;0;0;0,1;1,3;0
0;0;0;0,4;3,5;0
26;13;0;0,4;4,7;0
17;8;0;0,4;7,2;0
23;7;20,1;0,3;2,7;0
18;6;16,7;0,4;4,8;0
19;5;12,8;0,5;8,3;0
21;14;7,1;0,5;12,2;0
26;12;9,2;0,4;9,9;0
22;8;8,3;0,4;10,2;0
24;11;10,8;0,4;6,4;0
19;9;8,8;0,4;8,2;0
25;8;10,4;0,3;6,5;0
21;6;3,1;0,4;12,9;0
17;9;3,8;0,4;10,9;0
27;8;2,4;0,4;10,9;0
20;6;5,8;0,3;6,5;0
16;10;1,6;0,4;9,8;0
15;8;0;0,6;14,2;0
32;18;6,3;0,4;6,6;0
21;7;9,8;0,3;3,5;0
14;6;10,3;0,4;3,6;0
21;3;11,5;0,3;1,6;0
7;1;12,7;0,3;1;0
16;4;13;0,3;0,8;0
14;3;11,9;0,4;2,8;0
13;4;11,1;0,4;3,3;0
13;7;13,5;0,3;1;0
14;6;11,3;0,4;3,8;0
14;7;10,8;0,4;2,6;0
11;4;6,1;0,5;6,5;0
16;4;4,9;0,5;9,5;0
22;6;3,8;0,5;9,1;0
27;7;0,5;0,6;11,3;0
23;9;0,6;0,6;11,1;0
21;7;2,2;0,5;9;0
14;4;6,8;0,3;2,9;0
13;5;6,9;0,1;2,5;0
12;4;4,3;0,1;4,4;0
13;6;4,9;0;2,9;0
13;5;5,4;0;3,3;0
14;5;0,6;0,2;9,3;0
11;4;1,7;0,2;7,7;0
16;5;1,1;0,2;9,2;0
19;11;3,9;0,2;9,2;0
22;8;9,3;0,1;3,9;0
24;4;10;0,1;3,4;0
10;1;12;0,1;2,4;0
10;1;15,4;0,1;0;0
7;1;14,5;0,1;0,4;0
15;3;14,9;0,1;0,2;0
18;2;12,8;0,1;1,6;0
14;3;13,1;0,1;1,1;0
16;4;13,7;0,1;1,1;0
11;4;11,8;0,1;2,9;0
13;3;11;0,1;4,5;0
18;4;7,4;0,2;7,5;0
17;5;5,4;0,3;10,8;0
26;7;2,6;0,2;10,5;0
16;7;3,8;0,2;9,9;0
23;7;3;0,2;9,6;0
22;9;1,7;0;11,1;0
16;9;4,7;0;7,6;0
24;18;0,9;0;11,6;0
28;13;0,9;0;9,8;0
27;10;4,4;0;6,4;0
16;7;0,1;0;12,4;0
26;16;0,8;0;10,1;0
30;15;6,9;0;6,7;0
29;10;8,7;0,1;6,3;0
22;10;12,5;0,2;0;0
13;6;18,4;0;0,8;0
23;7;20,7;0;0;0
23;9;21,2;0;0;0
23;8;19;0;1,5;0
19;7;15,8;0;3,7;0
25;10;14,8;0;6,2;0
29;17;32,4;0,1;6,6;0
40;24;33,9;0,1;7,8;0
36;22;11,4;0,2;16,1;0
32;15;3,4;0,3;19,4;0
27;25;5,6;0,1;14,7;0
29;16;11,4;0,1;8,9;0
28;14;14,1;0;5,9;0
24;13;10,9;0;5,5;0
27;12;0,4;0,3;17,4;0
35;17;7,1;0,1;7,3;0
31;16;3,2;0,1;11,1;0
28;20;0;0,2;14,6;0
36;16;2,2;0,3;13,9;0
38;21;0;1;18,6;0
50;39;0;1,2;17,6;0
58;48;1,8;0,8;18,4;0
47;22;14;0,1;5;0
33;17;23,5;0;1,2;0
30;9;29,3;0,1;2,5;0
27;14;35,7;0;0,1;0
20;10;45,2;0,1;0,5;0
31;14;34,2;0,1;0,2;0
19;11;31,2;0;0;0
17;5;29,8;0;0;0
24;2;26,9;0;0;0
16;5;22,3;0;1;0
16;7;15,6;0,1;8,8;0
17;9;10,7;0,2;12,6;0
17;9;7,7;0,2;16,9;0
18;9;0;0,1;12,5;0
0;0;0;0,2;17,1;0
0;0;0;0,5;16,6;0
16;10;0;0,3;12,4;0
20;9;0;0,1;13,6;0
22;14;0;0;11,5;0
25;15;0;0;10,4;0
16;8;0;0,5;15;0
28;15;0;0,6;15,4;0
43;30;0;0,1;11,7;0
25;16;0;0,2;15,3;0
35;23;2;0,2;16,7;0
33;27;10;0,1;11,9;0
30;17;17,6;0;12,9;0
26;15;20,7;0;13,8;0
36;21;33,6;0;11;0
29;17;33,2;0;2,9;0
28;13;11,2;0,1;14,7;0
30;24;7,4;0,1;22,2;0
33;18;18,1;0;8;0
12;7;19,6;0;3,1;0
17;9;17,9;0;2,7;0
17;6;14,3;0;4,8;0
19;7;14,6;0;1,8;0
18;4;10,1;0;6;0
17;2;1,7;0;18,5;0
29;9;3,4;0;13,4;0
23;10;2,3;0;12;0
19;6;1,3;0,1;12,8;0
18;9;0,1;0,1;16,9;0
25;11;0,5;0;15,2;0
23;13;2,1;0;11,8;0
18;15;0,2;0;13;0
33;17;0,2;0;14,1;0
25;17;2,2;0;16,7;0
29;15;6,1;0;13,5;0
20;13;10,1;0;9;0
15;12;13,7;0;6,5;0
9;8;16,2;0;4,9;0
12;11;14,5;0;10,6;0
21;14;20,3;0;7;0
19;8;21,6;0,1;10,7;0
