PM10;PM2.5;OZONO;CO;NO2;SO2
11;2;17;0,1;1,4;0
9;2;14,7;0,2;2,7;0
17;2;13,4;0,2;4;0
14;8;8,3;0,3;8;0
18;6;6,5;0,3;7,7;0
22;6;1;0,5;11,5;0
18;8;2,3;0,3;9;0
18;6;0,5;0,5;9,4;0
27;10;0,7;1;7,6;0
26;15;0;0,9;6,7;0
29;9;0,6;0,4;6,1;0
26;8;0,9;0,5;5,7;0
25;8;0,3;0,4;6;0
21;16;0,7;0,2;5,6;0
27;6;0,7;0,4;5,6;0
20;15;0,7;0,6;4,7;0
22;22;3,3;0,4;5,4;0
25;14;7;0,2;5,8;0
20;12;12,9;0,1;2,7;0
12;6;15,4;0,1;1,7;0
9;3;20;0;0,3;0
11;3;19,9;0;0,3;0
14;5;18,7;0;0,4;0
11;2;18,1;0,1;0,7;0
10;1;16,1;0,1;2,1;0
16;5;22,2;0,1;0,9;0
22;8;27,4;0,1;1,9;0
22;12;25,6;0,1;2;0
26;18;18,5;0,4;12,1;0
35;29;15,8;0,3;8,6;0
30;22;15,9;0,2;4,8;0
14;10;9,7;0,2;9,3;0
15;8;13,6;0,1;3,7;0
6;6;13,5;0,1;1,7;0
10;3;13,1;0,1;1,4;0
10;1;7,7;0,1;12;0
6;4;2,2;0,2;20;0
18;5;0,4;0,3;16,3;0
23;16;1,2;0,4;12,4;0
31;20;1,1;0,9;12,7;0
36;22;0,7;0,8;12,7;0
36;29;4,7;0,4;8,7;0
35;21;6,8;0,2;5,7;0
19;13;11,7;0,1;2,1;0
16;9;10,2;0,2;6,3;0
22;11;10,3;0,3;9,8;0
22;17;16,9;0,3;7,2;0
25;9;25,3;0,2;5,2;0
22;13;26,4;0,1;1,6;0
19;10;10,5;0,4;13,8;0
25;23;9,7;0,6;21;0
24;22;3,2;0,8;26,6;0
22;18;8,6;0,5;15,6;0
27;17;2;0,5;18,2;0
22;8;1,2;0,4;14,2;0
22;10;0,8;1,1;13,3;0
32;28;0,5;0,9;12;0
33;18;0,5;0,8;12,1;0
25;8;0,5;0,5;12;0
26;15;0,2;0,3;11,3;0
16;11;1,5;0,3;10,2;0
17;8;0,7;0,3;9,5;0
19;10;0,3;0,4;8,9;0
24;10;0,6;0,8;10,4;0
25;20;3;0,8;9,6;0
31;22;7,3;0,4;6,2;0
24;9;13,3;0,2;3,5;0
18;8;17;0,1;1,4;0
21;3;16,5;0,1;1,1;0
14;1;15,5;0,1;1,7;0
11;0;17,2;0,1;1,2;0
11;0;16,6;0,2;2,3;0
23;4;13,6;0,2;5,9;0
16;8;23,4;0,2;3,2;0
21;11;20,2;0,3;8,9;0
25;16;16,2;0,3;10,9;0
31;17;14;0,3;8,6;0
33;25;2,6;0,7;17,9;0
46;24;0,8;0,6;15,7;0
42;23;0,4;0,7;11,2;0
42;20;0,9;0,4;8,8;0
33;14;0,9;0,3;10,2;0
26;19;1,1;0,3;8,9;0
21;11;2,2;0,2;8;0
16;10;1,4;0,3;6,7;0
26;15;0,9;0,4;9,5;0
23;16;0,8;0,4;9,8;0
25;15;0,6;1,1;10,5;0
43;31;1;1;11,9;0
35;19;1,6;0,5;10,7;0
30;22;10,9;0,2;4;0
16;4;16,7;0,1;2;0
17;3;16,2;0,1;2,3;0
12;1;16;0,2;3,4;0
13;1;17,6;0,2;2,5;0
19;5;16,2;0,2;4,1;0
18;5;17,5;0,1;2,9;0
20;5;17,2;0,2;3;0
18;9;11,1;0,3;7,7;0
20;12;5;0,4;11,5;0
21;8;2,7;0,4;11,6;0
29;18;1,3;0,3;11,4;0
27;13;0,8;0,4;9,6;0
34;17;0,8;0,7;9,2;0
30;19;0,5;0,7;7,7;0
37;19;3,6;0,2;7,5;0
23;8;0,9;0,3;6,8;0
